

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  3.750E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 3.388E-14, 1.060E-15)  1.27E-07
  4.000E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 3.614E-14, 1.130E-15)  1.27E-07
  4.250E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 3.840E-14, 1.201E-15)  1.27E-07
  4.500E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 4.066E-14, 1.272E-15)  1.27E-07
  4.750E-04 2.45008E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 4.292E-14, 1.342E-15)  1.27E-07
  5.000E-04 2.45008E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 4.518E-14, 1.413E-15)  1.27E-07
  5.250E-04 2.45008E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 4.744E-14, 1.483E-15)  1.27E-07
  5.500E-04 2.45008E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 4.970E-14, 1.554E-15)  1.27E-07
  5.750E-04 2.45007E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 5.195E-14, 1.625E-15)  1.27E-07
  6.000E-04 2.45007E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 5.421E-14, 1.695E-15)  1.27E-07
  6.250E-04 2.45007E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 5.647E-14, 1.766E-15)  1.27E-07
  6.500E-04 2.45007E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 5.873E-14, 1.837E-15)  1.27E-07
  6.750E-04 2.45006E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 6.099E-14, 1.907E-15)  1.27E-07
  7.000E-04 2.45006E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 6.325E-14, 1.978E-15)  1.27E-07
  7.250E-04 2.45006E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 6.551E-14, 2.049E-15)  1.27E-07
  7.500E-04 2.45006E-16  0.000E+00 ( 1.565E-08, 4.892E-10) ( 6.777E-14, 2.119E-15)  1.27E-07
  7.750E-04 2.45005E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 7.003E-14, 2.190E-15)  1.27E-07
  8.000E-04 2.45005E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 7.228E-14, 2.260E-15)  1.27E-07
  8.250E-04 2.45005E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 7.454E-14, 2.331E-15)  1.27E-07
  8.500E-04 2.45004E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 7.680E-14, 2.402E-15)  1.27E-07
  8.750E-04 2.45004E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 7.906E-14, 2.472E-15)  1.27E-07
  9.000E-04 2.45004E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 8.132E-14, 2.543E-15)  1.27E-07
  9.250E-04 2.45003E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 8.358E-14, 2.614E-15)  1.27E-07
  9.500E-04 2.45003E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 8.584E-14, 2.684E-15)  1.27E-07
  9.750E-04 2.45002E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 8.810E-14, 2.755E-15)  1.27E-07
  1.000E-03 2.45002E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 9.036E-14, 2.826E-15)  1.27E-07
  1.250E-03 2.44997E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 1.129E-13, 3.532E-15)  1.27E-07
  1.500E-03 2.44992E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 1.355E-13, 4.238E-15)  1.27E-07
  1.750E-03 2.44985E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 1.581E-13, 4.944E-15)  1.27E-07
  2.000E-03 2.44978E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 1.807E-13, 5.651E-15)  1.26E-07
  2.250E-03 2.44969E-16  0.000E+00 ( 1.564E-08, 4.892E-10) ( 2.033E-13, 6.357E-15)  1.26E-07
