 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  9.800E+00  7.29605E-03  2.10094E-21  7.50258E-05  7.52250E-05   1.3E-08
  9.900E+00  7.44534E-03  2.01905E-21  7.21015E-05  7.22806E-05   1.7E-08
  1.000E+01  7.59612E-03  1.94114E-21  6.93195E-05  6.94796E-05   1.6E-08
  1.025E+01  7.97965E-03  1.76234E-21  6.29343E-05  6.30514E-05   1.6E-08
  1.050E+01  8.37255E-03  1.60382E-21  5.72735E-05  5.73535E-05   1.5E-08
  1.075E+01  8.77480E-03  1.46288E-21  5.22404E-05  5.22882E-05   1.3E-08
  1.100E+01  9.18641E-03  1.33722E-21  4.77529E-05  4.77729E-05   1.0E-08
  1.125E+01  9.60736E-03  1.22488E-21  4.37413E-05  4.37372E-05   7.5E-09
  1.150E+01  1.00376E-02  1.12420E-21  4.01460E-05  4.01211E-05   5.0E-09
  1.175E+01  1.04773E-02  1.03375E-21  3.69160E-05  3.68731E-05   3.1E-09
  1.200E+01  1.09262E-02  9.52304E-22  3.40074E-05  3.39490E-05   3.1E-09
  1.225E+01  1.13844E-02  8.78798E-22  3.13825E-05  3.13107E-05   4.6E-09
  1.250E+01  1.18520E-02  8.12319E-22  2.90084E-05  2.89252E-05   6.1E-09
  1.275E+01  1.23288E-02  7.52071E-22  2.68570E-05  2.67639E-05   7.3E-09
  1.300E+01  1.28150E-02  6.97364E-22  2.49033E-05  2.48019E-05   8.0E-09
  1.325E+01  1.33104E-02  6.47593E-22  2.31260E-05  2.30174E-05   8.1E-09
  1.350E+01  1.38150E-02  6.02231E-22  2.15061E-05  2.13915E-05   7.8E-09
